name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
utd-sv_sctag_dirrep,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_dirrep.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_retbuf,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_retbuf.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_fpu_in2_gt_in1_3to1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_in2_gt_in1_3to1.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_sparc_exu_ecc_dec,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_ecc_dec.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_scbuf_slowsig_buf,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/scbuf_slowsig_buf.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_bw_r_l2d_rep_top,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/bw_r_l2d_rep_top.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_pcx_buf_p0,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_p0.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_ctu_clsp_cmpgif,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_clsp_cmpgif.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_ccx_arb_atomq,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ccx_arb_atomq.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sctag_retdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_retdp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_scbuf_rptr2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_scbuf_rptr2.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_scdata_periph_io,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/scdata_periph_io.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_cluster_header_dup,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cluster_header_dup.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_sctag_dir_in,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_dir_in.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_unconnected_drive,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/unconnected_drive.v,utd-sv,False,False,False,False,False,True,False,False
